subdomain,ip,status,http_code,https_code,server
admin-deals.jumia.ci                    ,N/A         ,DEAD       ,000   ,000   ,N/A         
admin-staging-deals.jumia.ci            ,N/A         ,DEAD       ,000   ,000   ,N/A         
admin-staging-jforce.jumia.ci           ,N/A         ,DEAD       ,000   ,000   ,N/A         
admin-staging-phalcon-deals.jumia.ci    ,N/A         ,DEAD       ,000   ,000   ,N/A         
account.jumia.ci                        ,N/A         ,DEAD       ,000   ,000   ,N/A         
acl-staging-pay.jumia.ci                ,acl-staging-pay.jumia.ci.cdn.cloudflare.net.,ALIVE      ,200   ,200   ,cloudflare  
acl-pay.jumia.ci                        ,acl-pay.jumia.ci.cdn.cloudflare.net.,ALIVE      ,200   ,200   ,cloudflare  
alice-staging.jumia.ci                  ,alice-staging.jumia.ci.cdn.cloudflare.net.,CLIENT_ERR ,401   ,401   ,cloudflare  
admin-staging-pay.jumia.ci              ,admin-staging-pay.jumia.ci.cdn.cloudflare.net.,ALIVE      ,200   ,200   ,cloudflare  
admin-pay.jumia.ci                      ,admin-pay.jumia.ci.cdn.cloudflare.net.,ALIVE      ,200   ,200   ,cloudflare  
api-staging-pay.jumia.ci                ,api-staging-pay.jumia.ci.cdn.cloudflare.net.,CLIENT_ERR ,401   ,401   ,cloudflare  
app-business-pay.jumia.ci               ,app-business-pay.jumia.ci.cdn.cloudflare.net.,CLIENT_ERR ,404   ,404   ,cloudflare  
api-pay.jumia.ci                        ,api-pay.jumia.ci.cdn.cloudflare.net.,CLIENT_ERR ,401   ,401   ,cloudflare  
api-staging-search.jumia.ci             ,api-staging-search.jumia.ci.cdn.cloudflare.net.,SERVER_ERR ,503   ,503   ,cloudflare  
app-business-staging-pay.jumia.ci       ,app-business-staging-pay.jumia.ci.cdn.cloudflare.net.,ALIVE      ,200   ,200   ,cloudflare  
business-pay.jumia.ci                   ,business-pay.jumia.ci.cdn.cloudflare.net.,ALIVE      ,200   ,200   ,cloudflare  
bob-staging.jumia.ci                    ,bob-staging.jumia.ci.cdn.cloudflare.net.,CLIENT_ERR ,401   ,401   ,cloudflare  
business-staging-pay.jumia.ci           ,business-staging-pay.jumia.ci.cdn.cloudflare.net.,ALIVE      ,200   ,200   ,cloudflare  
bob.jumia.ci                            ,bob.jumia.ci.cdn.cloudflare.net.,ALIVE      ,200   ,200   ,cloudflare  
chomp-staging-pay.jumia.ci              ,chomp-staging-pay.jumia.ci.cdn.cloudflare.net.,CLIENT_ERR ,404   ,404   ,cloudflare  
console.jumia.ci                        ,console.jumia.ci.cdn.cloudflare.net.,ALIVE      ,200   ,200   ,cloudflare  
cca.jumia.ci                            ,ccaci.wpengine.com.,ALIVE      ,200   ,200   ,nginx       
contentguidelines.jumia.ci              ,N/A         ,DEAD       ,000   ,000   ,N/A         
cam.jumia.ci                            ,cam.jumia.ci.cdn.cloudflare.net.,ALIVE      ,200   ,200   ,cloudflare  
console-staging.jumia.ci                ,console-staging.jumia.ci.cdn.cloudflare.net.,ALIVE      ,200   ,200   ,cloudflare  
cam-staging.jumia.ci                    ,cam-staging.jumia.ci.cdn.cloudflare.net.,ALIVE      ,200   ,200   ,cloudflare  
content-staging-pay.jumia.ci            ,content-staging-pay.jumia.ci.cdn.cloudflare.net.,CLIENT_ERR ,403   ,403   ,cloudflare  
content-pay.jumia.ci                    ,content-pay.jumia.ci.cdn.cloudflare.net.,CLIENT_ERR ,403   ,403   ,cloudflare  
email.email.deals.jumia.ci              ,N/A         ,DEAD       ,000   ,000   ,N/A         
credits-api-doc-pay.jumia.ci            ,credits-api-doc-pay.jumia.ci.cdn.cloudflare.net.,ALIVE      ,200   ,200   ,cloudflare  
frosty-staging-pay.jumia.ci             ,frosty-staging-pay.jumia.ci.cdn.cloudflare.net.,CLIENT_ERR ,404   ,404   ,cloudflare  
email.email.jumia.ci                    ,mailgun.org.,CLIENT_ERR ,404   ,404   ,N/A         
credits-api-doc-staging-pay.jumia.ci    ,credits-api-doc-staging-pay.jumia.ci.cdn.cloudflare.net.,ALIVE      ,200   ,200   ,cloudflare  
jforce.jumia.ci                         ,jforce.jumia.ci.cdn.cloudflare.net.,ALIVE      ,200   ,200   ,cloudflare  
kamek-staging-pay.jumia.ci              ,kamek-staging-pay.jumia.ci.cdn.cloudflare.net.,ALIVE      ,200   ,200   ,cloudflare  
games.jumia.ci                          ,games.jumia.ci.cdn.cloudflare.net.,CLIENT_ERR ,400   ,400   ,cloudflare  
api-shrek.jumia.ci                      ,api-shrek.jumia.ci.cdn.cloudflare.net.,DEAD       ,000   ,403   ,N/A         
lurl.email.jumia.ci                     ,lurl.email.jumia.ci.cdn.cloudflare.net.,CLIENT_ERR ,404   ,404   ,cloudflare  
merchant-api-doc-staging-pay.jumia.ci   ,merchant-api-doc-staging-pay.jumia.ci.cdn.cloudflare.net.,ALIVE      ,200   ,200   ,cloudflare  
merchant-api-doc-pay.jumia.ci           ,merchant-api-doc-pay.jumia.ci.cdn.cloudflare.net.,ALIVE      ,200   ,200   ,cloudflare  
my-client.jumia.ci                      ,my-client.jumia.ci.cdn.cloudflare.net.,ALIVE      ,200   ,200   ,cloudflare  
my-client-dev.jumia.ci                  ,my-client-dev.jumia.ci.cdn.cloudflare.net.,ALIVE      ,200   ,200   ,cloudflare  
my-client-staging.jumia.ci              ,my-client-staging.jumia.ci.cdn.cloudflare.net.,ALIVE      ,200   ,200   ,cloudflare  
phalcon-admin-deals.jumia.ci            ,N/A         ,DEAD       ,000   ,000   ,N/A         
phalcon-api-deals.jumia.ci              ,N/A         ,DEAD       ,000   ,000   ,N/A         
oms.jumia.ci                            ,oms.jumia.ci.cdn.cloudflare.net.,ALIVE      ,200   ,200   ,cloudflare  
pay.jumia.ci                            ,pay.jumia.ci.cdn.cloudflare.net.,ALIVE      ,200   ,200   ,cloudflare  
operations-pay.jumia.ci                 ,operations-pay.jumia.ci.cdn.cloudflare.net.,ALIVE      ,200   ,200   ,cloudflare  
oms-staging.jumia.ci                    ,oms-staging.jumia.ci.cdn.cloudflare.net.,ALIVE      ,200   ,200   ,cloudflare  
fpjs.my-dev.jumia.ci                    ,52.223.17.81,ALIVE      ,000   ,200   ,N/A         
phalcon-deals.jumia.ci                  ,N/A         ,DEAD       ,000   ,000   ,N/A         
productionservices.jumia.ci             ,prodservci.wpengine.com.,CLIENT_ERR ,404   ,000   ,UploadServer
my.jumia.ci                             ,my.jumia.ci.cdn.cloudflare.net.,ALIVE      ,200   ,200   ,cloudflare  
my-staging.jumia.ci                     ,my-staging.jumia.ci.cdn.cloudflare.net.,ALIVE      ,200   ,200   ,cloudflare  
sellercenter-api-staging.jumia.ci       ,sellercenter-api-staging.jumia.ci.cdn.cloudflare.net.,ALIVE      ,200   ,200   ,cloudflare  
sellercenter-api.jumia.ci               ,sellercenter-api.jumia.ci.cdn.cloudflare.net.,ALIVE      ,200   ,200   ,cloudflare  
sellercenter.jumia.ci                   ,sellercenter.jumia.ci.cdn.cloudflare.net.,ALIVE      ,200   ,200   ,cloudflare  
my-dev.jumia.ci                         ,my-dev.jumia.ci.cdn.cloudflare.net.,ALIVE      ,301   ,200   ,cloudflare  
sellercenter-rest.jumia.ci              ,sellercenter-rest.jumia.ci.cdn.cloudflare.net.,CLIENT_ERR ,404   ,404   ,cloudflare  
sellercenter-rest-staging.jumia.ci      ,sellercenter-rest-staging.jumia.ci.cdn.cloudflare.net.,CLIENT_ERR ,404   ,404   ,cloudflare  
sellercenter-static.jumia.ci            ,sellercenter-static.jumia.ci.cdn.cloudflare.net.,CLIENT_ERR ,404   ,404   ,cloudflare  
staging-account.jumia.ci                ,N/A         ,DEAD       ,000   ,000   ,N/A         
sellercenter-staging.jumia.ci           ,sellercenter-staging.jumia.ci.cdn.cloudflare.net.,ALIVE      ,200   ,200   ,cloudflare  
staging-deals.jumia.ci                  ,N/A         ,DEAD       ,000   ,000   ,N/A         
staging-api-deals.jumia.ci              ,N/A         ,DEAD       ,000   ,000   ,N/A         
sellercenter-static-staging.jumia.ci    ,sellercenter-static-staging.jumia.ci.cdn.cloudflare.net.,CLIENT_ERR ,404   ,404   ,cloudflare  
staging-jforce.jumia.ci                 ,staging-jforce.jumia.ci.cdn.cloudflare.net.,CLIENT_ERR ,401   ,401   ,cloudflare  
staging-one.jumia.ci                    ,staging-one.jumia.ci.cdn.cloudflare.net.,SERVER_ERR ,502   ,502   ,cloudflare  
staging-phalcon-api-deals.jumia.ci      ,N/A         ,DEAD       ,000   ,000   ,N/A         
staging-phalcon-deals.jumia.ci          ,N/A         ,DEAD       ,000   ,000   ,N/A         
staging-pay.jumia.ci                    ,staging-pay.jumia.ci.cdn.cloudflare.net.,ALIVE      ,200   ,200   ,cloudflare  
static-staging-pay.jumia.ci             ,static-staging-pay.jumia.ci.cdn.cloudflare.net.,CLIENT_ERR ,403   ,403   ,cloudflare  
tracking.jumia.ci                       ,N/A         ,DEAD       ,000   ,000   ,N/A         
static-pay.jumia.ci                     ,static-pay.jumia.ci.cdn.cloudflare.net.,CLIENT_ERR ,403   ,403   ,cloudflare  
vendorhub.jumia.ci                      ,es2oobzgc5zl.wpeproxy.com.,ALIVE      ,200   ,200   ,cloudflare  
static-staging.jumia.ci                 ,static-staging.jumia.ci.cdn.cloudflare.net.,CLIENT_ERR ,401   ,401   ,cloudflare  
www.deals.jumia.ci                      ,N/A         ,DEAD       ,000   ,000   ,N/A         
static.jumia.ci                         ,static.jumia.ci.cdn.cloudflare.net.,ALIVE      ,200   ,200   ,cloudflare  
www.jumia.ci                            ,162.159.141.127,ALIVE      ,200   ,200   ,cloudflare  
vendorhub-template.jumia.ci             ,es2oobzgc5zl.wpeproxy.com.,ALIVE      ,200   ,200   ,cloudflare  
